,state,mask willingness,vaccine unwillingness,supply usage,population,election results
0,Alabama,85.0,26.0,63.8,4863300.0,R
1,Alaska,77.0,22.0,72.9,741894.0,R
2,Arizona,80.0,22.0,75.3,6931071.0,D
3,Arkansas,68.0,27.0,69.5,2988248.0,R
4,California,84.0,17.0,77.8,39250017.0,D
5,Colorado,89.0,18.0,82.2,5540545.0,D
6,Connecticut,95.0,13.0,84.1,3576452.0,D
7,Delaware,90.0,14.0,77.6,952065.0,D
8,Florida,91.0,20.0,73.1,20612439.0,R
9,Georgia,82.0,27.0,66.9,10310371.0,D
10,Hawaii,94.0,11.0,82.9,1428557.0,D
11,Idaho,73.0,29.0,76.2,1683140.0,R
12,Illinois,90.0,19.0,78.2,12801539.0,D
13,Indiana,89.0,22.0,76.4,6633053.0,R
14,Iowa,69.0,20.0,85.9,3134693.0,R
15,Kansas,86.0,25.0,74.6,2907289.0,R
16,Kentucky,83.0,25.0,79.7,4436974.0,R
17,Louisiana,86.0,23.0,73.8,4681666.0,R
18,Maine,88.0,16.0,85.1,1331479.0,D
19,Maryland,91.0,15.0,79.2,6016447.0,D
20,Massachusetts,90.0,11.0,83.1,6811779.0,D
21,Michigan,84.0,21.0,74.5,9928300.0,D
22,Minnesota,83.0,17.0,86.3,5519952.0,D
23,Mississippi,83.0,30.0,65.7,2988726.0,R
24,Missouri,79.0,24.0,76.4,6093000.0,R
25,Montana,84.0,24.0,77.3,1042520.0,R
26,Nebraska,80.0,16.0,80.9,1907116.0,R
27,Nevada,92.0,22.0,82.1,2940058.0,D
28,New Hampshire,87.0,17.0,85.0,1334795.0,D
29,New Jersey,88.0,14.0,83.3,8944469.0,D
30,New Mexico,89.0,20.0,89.1,2081015.0,D
31,New York,91.0,13.0,83.7,19745289.0,D
32,North Carolina,79.0,22.0,71.9,10146788.0,R
33,North Dakota,66.0,24.0,87.7,757952.0,R
34,Ohio,83.0,21.0,79.9,11614373.0,R
35,Oklahoma,81.0,28.0,72.2,3923561.0,R
36,Oregon,90.0,17.0,77.5,4093465.0,D
37,Pennsylvania,88.0,20.0,80.1,12784227.0,D
38,Rhode Island,96.0,15.0,80.3,1056426.0,D
39,South Carolina,82.0,23.0,71.7,4961119.0,R
40,South Dakota,54.0,28.0,79.1,865454.0,R
41,Tennessee,76.0,25.0,74.5,6651194.0,R
42,Texas,84.0,23.0,72.4,27862596.0,R
43,Utah,74.0,16.0,84.0,3051217.0,R
44,Vermont,84.0,16.0,83.6,624594.0,D
45,Virginia,88.0,19.0,82.0,8411808.0,D
46,Washington,88.0,17.0,79.8,7288000.0,D
47,West Virginia,77.0,28.0,71.4,1831102.0,R
48,wisconsin,79.0,19.0,87.6,5778708.0,D
49,wyoming,54.0,22.0,74.8,585501.0,R
50,,,,,,
